Institution_Sector_at_Entry,Age_at_Entry,Starting_Enrollment_Intensity,Metric,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
All Sectors,Age 20 or Younger,Total,Retention Rate,0.6947476200423488,0.696987258636052,0.7047259224342173,0.7044052065943726,0.7018606436328885,0.7062868400251469,0.7001560812813916,0.6942762077408857,0.7075806945494725,0.7191158799245744
All Sectors,Age 20 or Younger,Total,Retention Rate,0.8011191443882255,0.8020278587746548,0.8081253531805417,0.8070034647797163,0.8006196254605615,0.8042506934923389,0.784624076045291,0.7869471067069422,0.8011399871116107,0.8091780555674952
All Sectors,Age 20 or Younger,Total,Retention Rate,2139849.0,2141372.0,2112942.0,2143282.0,2206817.0,2225331.0,2216153.0,2041601.0,2093357.0,2140388.0
All Sectors,Age 20 or Younger,Full-Time,Retention Rate,0.7371882113744737,0.7416923030934799,0.7494406182374536,0.748954515599251,0.7448781038094482,0.7495379006680865,0.7468696889503571,0.7378706055193236,0.7496044934037354,0.7609721279607394
All Sectors,Age 20 or Younger,Full-Time,Retention Rate,0.842090483239893,0.8447466048297184,0.8508724977142306,0.8494738444890063,0.8414790873560128,0.8440282916653794,0.8283069803316622,0.8242878940689808,0.8391724318999352,0.8477059100213692
All Sectors,Age 20 or Younger,Full-Time,Retention Rate,1808998.0,1572307.0,1741208.0,1779797.0,1852683.0,1877302.0,1879925.0,1728219.0,1782524.0,1824122.0
All Sectors,Age 20 or Younger,Part-Time,Retention Rate,0.4626951400897251,0.4744373166011113,0.4868956572297508,0.484284063676823,0.4741439853234152,0.4758393953295323,0.4352303902769993,0.4508144427305838,0.4659928689299833,0.4797610385631677
All Sectors,Age 20 or Younger,Part-Time,Retention Rate,0.5770281872377474,0.56984375975526,0.5768147054877231,0.5740257331963939,0.5594552177838931,0.5621236283140733,0.5094545561815983,0.5501021586568358,0.5572958919179888,0.565025083291847
All Sectors,Age 20 or Younger,Part-Time,Retention Rate,330788.0,256272.0,268308.0,280416.0,279084.0,274662.0,271192.0,247654.0,252697.0,261130.0
All Sectors,Age 20 or Younger,Non-Credential,Retention Rate,,,0.5694524219797051,0.5711584737023032,0.5817349607672189,0.5683919779032064,0.5674862576140247,0.5632486507832039,0.6027641551493536,0.6158341950276491
All Sectors,Age 20 or Younger,Non-Credential,Retention Rate,,,0.7148908673176335,0.7182880715022344,0.7399738448125545,0.7487090188543293,0.7348833754271282,0.7225220481769119,0.7645604506950918,0.7609135458346447
All Sectors,Age 20 or Younger,Non-Credential,Retention Rate,,,41784.0,40726.0,36704.0,33308.0,26924.0,30388.0,24673.0,22243.0
All Sectors,Age 20 or Younger,Program Unknown,Retention Rate,,,0.4815061159598974,0.4177786174810476,0.3957909560319199,0.3740982051474075,0.3747900923593619,0.3811827956989247,0.3706780623375071,0.3679506277931474
All Sectors,Age 20 or Younger,Program Unknown,Retention Rate,,,0.6706628597384899,0.6500720307961174,0.639753820476712,0.6464464914251479,0.6230583543240974,0.6760328239954726,0.643576487463766,0.6434803757638403
All Sectors,Age 20 or Younger,Program Unknown,Retention Rate,,,61642.0,42343.0,38346.0,40059.0,38112.0,35340.0,33463.0,32893.0
All Sectors,Ages 21-24,Total,Retention Rate,0.5084938504872374,0.453202591313554,0.4528628454764299,0.4622258225324028,0.4562561318595068,0.4540255349315955,0.4313395525514621,0.4660032072445996,0.4566629302386918,0.4581843517674892
All Sectors,Ages 21-24,Total,Retention Rate,0.5543746391644361,0.4979657684454639,0.5002833897065545,0.5091600199401795,0.5018837072404997,0.4964383337536894,0.4679635784710778,0.5081030091500802,0.4973460371884478,0.4993377179214296
All Sectors,Ages 21-24,Total,Retention Rate,228636.0,198355.0,164085.0,160480.0,152890.0,146701.0,143212.0,106010.0,121328.0,130609.0
All Sectors,Ages 21-24,Full-Time,Retention Rate,0.5925562267426555,0.5568342330307576,0.5629800495693357,0.5744078430394273,0.5655078970789442,0.5585448929216598,0.5334571967457703,0.5476016989816773,0.555504,0.5620221610858628
All Sectors,Ages 21-24,Full-Time,Retention Rate,0.635374643357738,0.603917789919739,0.612623003116488,0.6247365073029574,0.6139929065766927,0.6052236027414262,0.5744728767277538,0.5916934724270912,0.599952,0.6081378912009241
All Sectors,Ages 21-24,Full-Time,Retention Rate,140547.0,91327.0,81502.0,80173.0,75281.0,72517.0,71046.0,56269.0,62500.0,65791.0
All Sectors,Ages 21-24,Part-Time,Retention Rate,0.3743584502884135,0.3740353202973344,0.3928180158247109,0.3903353189210896,0.3907657269056903,0.3951807228915662,0.3709084222140493,0.3884328889310623,0.3934857242188518,0.4079313779295485
All Sectors,Ages 21-24,Part-Time,Retention Rate,0.4250124903483672,0.415321244259268,0.4366750717328927,0.4329194833009838,0.4342799958590703,0.4338248516453875,0.4047995586612725,0.4270769084784362,0.4316413889009604,0.4462467223611195
All Sectors,Ages 21-24,Part-Time,Retention Rate,88068.0,63363.0,57505.0,59764.0,57958.0,55610.0,54380.0,42154.0,46022.0,49197.0
All Sectors,Ages 21-24,Non-Credential,Retention Rate,,,0.2555854485904784,0.2958762886597938,0.2946320868516284,0.2448731317344456,0.2255244755244755,0.3448131037379252,0.2422502870264064,0.2099307159353348
All Sectors,Ages 21-24,Non-Credential,Retention Rate,,,0.3083401567434787,0.3469072164948453,0.3388118214716526,0.2862356621480709,0.2521367521367521,0.3956320873582528,0.2761194029850746,0.2454965357967667
All Sectors,Ages 21-24,Non-Credential,Retention Rate,,,8549.0,7760.0,6632.0,5754.0,5148.0,2381.0,3484.0,4330.0
All Sectors,Ages 21-24,Program Unknown,Retention Rate,,,0.2208240062919717,0.1957287021825862,0.1984023350487748,0.2119344773790951,0.2011394207944295,0.2675758739915482,0.1860115854966745,0.1673013904879993
All Sectors,Ages 21-24,Program Unknown,Retention Rate,,,0.2669247988384052,0.2392239693342721,0.2376526614947384,0.2470358814352574,0.2289128026586485,0.3121398386477141,0.216477150826003,0.1940483570985741
All Sectors,Ages 21-24,Program Unknown,Retention Rate,,,16529.0,12783.0,13019.0,12820.0,12638.0,5206.0,9322.0,11291.0
All Sectors,Age 25 or Older,Total,Retention Rate,0.4861085722377415,0.439207729468599,0.4438512190781278,0.444056094743919,0.4568409067954568,0.4437055275700829,0.42154210348326,0.4289057997435928,0.4144329785099587,0.4245980480496781
All Sectors,Age 25 or Older,Total,Retention Rate,0.5194011405620422,0.4723188405797101,0.4764275692521635,0.4755899946560016,0.4881692391034882,0.4725790056247035,0.4453086837259986,0.4570517872055139,0.441736122031766,0.4526559768979405
All Sectors,Age 25 or Older,Total,Retention Rate,388405.0,310500.0,241617.0,232036.0,217822.0,221345.0,212904.0,170042.0,184411.0,184226.0
All Sectors,Age 25 or Older,Full-Time,Retention Rate,0.5892751613783072,0.5350217105133898,0.5573706348430011,0.5588472622478386,0.5664626208348337,0.531860239574323,0.519380582709067,0.5013231402528668,0.4757795471731684,0.4944531048991267
